economy,economy_code,pillar_i_overall,pillar_ii_overall,regulatory_gap,competition_authority_independence,competition_authority_transparency,market_competition
Bangladesh,BGD,36.92,43.46,6.539999999999999,14.81,3.61,22.89
Barbados,BRB,41.1,31.79,-9.310000000000002,9.26,9.17,22.58
Bosnia and Herzegovina,BIH,57.77,38.69,-19.080000000000005,11.11,9.17,11.88
Botswana,BWA,56.95,45.64,-11.310000000000002,12.96,12.5,14.36
Bulgaria,BGR,69.2,67.27,-1.9300000000000068,11.11,12.5,17.99
Cambodia,KHM,41.29,19.14,-22.15,11.11,0,16.44
Central African Republic,CAF,49.84,3.7,-46.14,3.7,0,12.58
Chad,TCD,46.53,12.19,-34.34,7.41,0,12.21
Colombia,COL,71.6,75.17,3.5700000000000074,11.11,16.67,19.67
Costa Rica,CRI,60.72,75.13,14.409999999999997,14.81,15.83,19.96
Côte dIvoire,CIV,55.59,25.38,-30.210000000000004,12.96,0.83,12.77
Croatia,HRV,57.8,73.21,15.409999999999997,14.81,12.5,16
El Salvador,SLV,61.24,41.35,-19.89,11.11,5.83,11.93
Estonia,EST,57.6,72.7,15.100000000000001,12.96,4.17,19.27
Gambia,GMB,31.68,18.22,-13.46,11.11,0.83,13.67
Georgia,GEO,54.22,62.08,7.859999999999999,8.33,10.56,8.93
Ghana,GHA,36.9,19.68,-17.22,0,0,13.73
Greece,GRC,71.03,69.64,-1.3900000000000006,14.81,10.83,17.53
Hong Kong SAR China,HKG,39.26,71.49,32.23,11.11,14.17,23.14
Hungary,HUN,68.4,62.97,-5.430000000000007,12.04,13.06,17.35
Indonesia,IDN,50.67,67.53,16.86,11.11,12.5,10.27
Iraq,IRQ,29.54,2.78,-26.759999999999998,0,0,10.68
Kyrgyz Republic,KGZ,54.42,58.55,4.1299999999999955,11.11,1.67,11.72
Lesotho,LSO,31.85,9.5,-22.35,0,0,14.99
Madagascar,MDG,49.08,32.52,-16.559999999999995,12.96,0.83,14.8
Mauritius,MUS,48.42,58.53,10.11,11.11,12.5,18.33
Mexico,MEX,60.11,65.5,5.390000000000001,14.81,15.83,10.37
Montenegro,MNE,59,53.53,-5.469999999999999,12.96,3.33,13.32
Morocco,MAR,64.76,66.76,2,12.96,5.83,17.56
Nepal,NPL,36.28,26.42,-9.86,5.56,0,24.7
New Zealand,NZL,39.56,62.95,23.39,11.11,15,13.47
North Macedonia,MKD,63.18,58.57,-4.609999999999999,11.11,10.83,20
Pakistan,PAK,48.74,47.2,-1.5399999999999991,11.11,13.89,11.82
Paraguay,PRY,50.69,56.19,5.5,13.89,7.5,15.17
Peru,PER,61.93,64.46,2.529999999999994,13.89,12.5,17.2
Philippines,PHL,52.09,54.85,2.759999999999998,16.67,14.17,8.61
Portugal,PRT,65.99,64.61,-1.3799999999999955,14.81,9.72,15.53
Romania,ROM,62.6,58.88,-3.719999999999999,14.81,9.58,16.9
Rwanda,RWA,61.28,70.27,8.989999999999995,14.81,13.33,16.13
Samoa,WSM,49.94,40.01,-9.93,9.26,0.83,17.17
Seychelles,SYC,42.86,20.59,-22.27,7.41,9.17,19.45
Sierra Leone,SLE,38.9,23.97,-14.93,6.94,0.83,10.15
Singapore,SGP,42.12,75.13,33.01,12.96,15.83,23.61
Slovak Republic,SVK,62.05,66.83,4.780000000000001,14.81,12.78,18.3
Tanzania,TZA,60.12,53.77,-6.349999999999994,12.04,12.5,11.42
Timor-Leste,TMP,22.25,2.28,-19.97,0,0,7.97
Togo,TGO,57.93,29.03,-28.9,9.26,0,14.25
Vanuatu,VUT,25.83,7.35,-18.479999999999997,0,0,4.33
Vietnam,VNM,63.73,61.84,-1.8899999999999935,11.11,5.56,20.28
West Bank and Gaza,WBG,30.42,14.29,-16.130000000000003,0,0,10.09
